code,p1_offset,p2_offset
lovy,-8,-8
iyhr,-5,-5
staa,7,7
want,-1,-1
noma,-8,-8
lift,-29,-29
flou,-2,-2
taka,12,12
play,1,1
dace,-8,-8
slip,-1,-1
hora,4,4
bene,-4,-4
tare,-9,-9
sare,12,12
slre,7,7
dacr,-10,-10
jube,8,8
esca,6,6
sett,6,6
soyo,-2,-2
suhe,-4,-4
unit,4,4
open,-1,-1
thli,-7,-7
ttlg,-2,-2
clos,1,1
kyou,10,10
dmin,-4,-4
insp,3,3
onbo,-19,-19
trig,-8,-8
danf,0,0
weca,-1,-1
raci,-5,-5
dese,-6,-6
sidr,11,11
thlo,7,7
habi,-9,-9
osak1,12,12
osak2,2,2
osak3,12,12
rint,-28,-28
zerr,-16,-16
rezo,1,1
blra,-1,-1
chan,-2,-2
parx,-2,-2
trxs,-3,-3
parx2,-5,-5
sptx,6,6
rebx,-10,-10
afrx,-4,-4
pevx,-6,-6
clix,-3,-3
petx,-4,-4
feax,-9,-9
canx,1,1
xmax,-5,-5
unlx,-4,-4
kakx,-15,-15
legx,1,1
ddrx,1,1
geis,-1,-1
inlo,2,2
sttb,-10,-10
tone,3,3
bewi,2,2
ropp1,7,7
ropp2,6,6
ropp3,5,5
prds,7,7
illf,5,5
sabe2,0,0
newg,-6,-6
taki,-8,-8
priv,-1,-1
teme,-4,-4
frez,2,2
haun,1,1
wick,0,0
sosp,15,15
thei,-15,-15
jena,-2,-2
sacr,-13,-13
wwcm,-17,-17
canu,0,0
curr,1,1
tame,1,1
iair,6,6
ahla,2,2
bbay,-4,-4
shie,-13,-13
lvag,-7,-7
hest,-9,-9
tasf,-3,-3
inzo,-8,-8
ttim,-15,-15
eine,-6,-6
kimp,8,8
shlo,15,15
abri,-8,-8
bene2,-5,-5
yyou,-15,-15
thni,-15,-15
geba,11,11
theh,5,5
goda,-11,-11
elrt,-6,-6
youa,-1,-1
seul,-2,-2
lali,5,5
unen,-1,-1
letg,-1,-1
larc,-1,-1
crco,-7,-7
goru,7,7
fifi,6,6
smoo,3,3
dada2,-8,-8
dada,-1,-1
meii,-2,-2
zeta,-11,-11
seco,8,8
vane,23,23
huch,-3,-3
shei,0,0
poss,-3,-3
cgpr,-1,-1
anti,12,12
allm,-7,-7
issk2,-9,-9
whro,4,4
tpch,-1,-1
rthm,6,6
skyi,0,0
newd,0,0
pose2,-1,-1
sasu,7,7
pier,-4,-4
tako,-1,-1
ropp4,8,8
droo,4,4
shng,-6,-6
sday,6,6
valk,5,5
shwo,-1,-1
batf,-4,-4
goup,6,6
lvng,-2,-2
maxl,-4,-4
melo,-10,-10
thr8,9,9
aftr,3,3
delt,-7,-7
dirt,-3,-3
dumm,11,11
sak2,4,4
yoan,-3,-3
oarf,-1,-1
dree,8,8
sson,10,10
urlv,9,9
oslv,-4,-4
mprd,-6,-6
snow2,4,4
imso,16,16
toet,3,3
hien1,3,3
hien2,3,3
hien3,4,4
ublv,2,2
arms,-4,-4
ptay,4,4
angl,8,8
srdr,0,0
ftsy,-4,-4
hrtb,4,4
fndw,-5,-5
dids,-5,-5
hbfo,-5,-5
pavo,4,4
trvo,2,2
neph,3,3
bere,4,4
rebo,11,11
amal,11,11
newb,15,15
feve,-6,-6
trbe,16,16
dorm,1,1
ioio,16,16
prog,14,14
toho1,-3,-3
litp,6,6
merm,7,7
sigs,6,6
tenj,-4,-4
shiz,16,16
mesg,3,3
fwer,-3,-3
sumi,-1,-1
alst,10,10
ryor,22,22
chro,1,1
cbtm,-2,-2
toky1,-12,-12
toky2,-13,-13
toky3,-12,-12
nyev1,12,12
nyev2,10,10
nyev3,11,11
suca,-1,-1
chil,0,0
dimo,-14,-14
sumf,-23,-23
saya,-18,-18
twin,11,11
revo,7,7
gofo,-8,-8
keyc,-3,-3
puda,-16,-16
trxa,-6,-6
brak,-2,-2
paks,-2,-2
anot,-1,-1
sota,-2,-2
scho,1,1
nblw,8,8
bedr,2,2
yaco,-2,-2
snpr,-3,-3
koen,-6,-6
cosh,-4,-4
rens,-4,-4
yama,4,4
airh,-4,-4
elys,-3,-3
zutt,5,5
span,4,4
chew,5,5
negr,-3,-3
stoa,18,18
soth,-3,-3
sthe,11,11
acwo,-3,-3
joke,-4,-4
mura,-5,-5
iman,-2,-2
mobu,2,2
wisi,-3,-3
meum,-1,-1
elem,8,8
raki,-3,-3
seit,-5,-5
stul,11,11
niji,-6,-6
okom,-6,-6
sous,-2,-2
synf,-2,-2
empa,0,0
gaia,-1,-1
dind,-5,-5
kara,0,0
kike,3,3
chin,-6,-6
rryu,-4,-4
revn,7,7
nagi,7,7
pran,-3,-3
twog,9,9
swra,6,6
magn,0,0
fuuf,-2,-2
sola,0,0
ostt,-4,-4
ckpp,4,4
rint2,0,0
wwve,-1,-1
wifa,-6,-6
prte,5,5
stel,11,11
miga,4,4
puni,-10,-10
hyen,0,0
koih,4,4
trbl,-3,-3
dail,-1,-1
vega,2,2
deba,-2,-2
sque,6,6
yaky,-10,-10
todo,3,3
ixix,3,3
hosh,1,1
disp,0,0
engr,-5,-5
rola,-8,-8
reve,2,2
aeth,4,4
doth,4,4
dete,15,15
miku,-4,-4
miso,0,0
setu,-4,-4
raku,8,8
bamb,-5,-5
gens,-4,-4
idol,2,2
dkdk,5,5
ssst,-8,-8
cleo,7,7
osen,-3,-3
cody,-2,-2
foto,4,4
fuji,1,1
adul,-2,-2
noil,15,15
joma,-2,-2
nage,1,1
syak,0,0
awao,-2,-2
ssca,-13,-13
mine2,-6,-6
stfa,-4,-4
endr,8,8
eltr,-1,-1
xmas,-7,-7
peit,-7,-7
czgt,6,6
wada,-2,-2
fksb,-1,-1
rema,3,3
akhu,2,2
gogo,-5,-5
poss2,4,4
chea,-2,-2
kuro,-12,-12
sabl,-1,-1
sedm,-16,-16
hlye,4,4
egoi,4,4
ovtp,-14,-14
orrs,-4,-4
niko,1,1
mrps,-9,-9
hbfo2,-2,-2
pran2,-4,-4
stfa2,-10,-10
asai,-4,-4
mayu,-2,-2
onna,-6,-6
awak,-1,-1
scar,-2,-2
strg,-1,-1
home,-2,-2
ayak,-3,-3
choc,-9,-9
bibi,-2,-2
baku,-1,-1
totu,-8,-8
dopa,-2,-2
papi,-21,-21
sakm,6,6
tenk,-9,-9
intb,-6,-6
sumd,-2,-2
ondo,-2,-2
yaoy,5,5
tsub,0,0
nekn,-20,-20
geki,-3,-3
shik,-14,-14
hnmr,-9,-9
tiho,0,0
edsm,0,0
yeye,-1,-1
huia,-6,-6
strn,-12,-12
strn2,8,8
newc,-3,-3
sans,2,2
edmj,-2,-2
tnaw,4,4
pooc,-1,-1
sayo,-7,-7
tama,-25,-25
daan,-1,-1
sttr,-4,-4
bass,-7,-7
sick,-3,-3
tech,-5,-5
bada,-11,-11
fare,-2,-2
fare2,-7,-7
basb,-3,-3
risi,-6,-6
seiz,-4,-4
almh,-10,-10
daif,-5,-5
hall,-21,-21
twiw,0,0
dddd,-2,-2
aozo,-5,-5
sibe,0,0
shkk,-4,-4
astr,-4,-4
obor,-2,-2
shio,-18,-18
kyun,-4,-4
grip,12,12
nofn,-2,-2
mtni,-4,-4
help,-34,-34
iroh,-4,-4
haps,-1,-1
kuka,10,10
haph,-4,-4
coli,-1,-1
speo,-8,-8
aman,-1,-1
lost,0,0
hapk,-6,-6
kura,-12,-12
towa,-10,-10
cyto,-4,-4
ifca,-2,-2
emer,-5,-5
anje,11,11
strc,-2,-2
gran,11,11
seph,-5,-5
zeph,-1,-1
trco,0,0
nday,6,6
hope,-5,-5
isht,-4,-4
outo,9,9
firs,-2,-2
kouc,2,2
rena,1,1
neut,-1,-1
resk,0,0
cosy,-1,-1
purs,-12,-12
flyf,0,0
endy,-2,-2
chro2,-7,-7
algo,-2,-2
exmo,-2,-2
lonh,1,1
nevl,0,0
orca,-9,-9
acef,-2,-2
hmss,9,9
shia,-1,-1
hims,-7,-7
ding,0,0
haru,-2,-2
tata,-8,-8
koin,-12,-12
shre,-6,-6
twme,0,0
stch,-11,-11
inra,-15,-15
kuns,-8,-8
sans0,-9,-9
jewe,-9,-9
beah,2,2
lumi,-5,-5
lumo,2,2
chop,-9,-9
hisc,-5,-5
kois,-4,-4
rpgg,-2,-2
alal,-7,-7
rosi,-5,-5
iaru,-12,-12
boss,-5,-5
blow,-1,-1
sarf,-2,-2
etsu,-15,-15
senn,-7,-7
pure,6,6
obor2,-4,-4
inbe,1,1
vanq,-12,-12
snsn,-14,-14
seik,-10,-10
pube,-8,-8
life,1,1
suss,-8,-8
frin,-17,-17
prey,-1,-1
rejo,-8,-8
bura,0,0
smpa,-5,-5
oneg,-11,-11
doup,-4,-4
drtb,-4,-4
suns2,-4,-4
ddrm,-5,-5
show,-1,-1
poss3,-1,-1
chao2,-1,-1
maxx2,-2,-2
avng,-1,-1
syur,-2,-2
anni,-3,-3
ourm,-8,-8
caof,2,2
seta,-7,-7
thbe,-6,-6
stsk,-2,-2
dehe,-5,-5
wati,2,2
dots,0,0
heli,-2,-2
proc,0,0
skyw,-5,-5
t501,-5,-5
t502,-2,-2
t503,-7,-7
t504,-6,-6
swet,-5,-5
hika,-1,-1
bast,-1,-1
kapa,-8,-8
neza,-1,-1
godf,-1,-1
toyb,2,2
f4sh,-5,-5
soda,-1,-1
givm,-2,-2
ramp,0,0
rtrw,-2,-2
sais,-3,-3
ouso,0,0
levu,-2,-2
woen,0,0
cros,-7,-7
ntlc,-11,-11
newr,-11,-11
sjlt,-8,-8
clar,-2,-2
plah,,
alba,-4,-4
alon,-2,-2
part,-5,-5
blst,3,3
newe,-5,-5
blja,0,0
alpa,-1,-1
mmdf,3,3
aceo,-2,-2
crsh,0,0
smst,-3,-3
spgo,-1,-1
afda,-2,-2
vsss,4,4
sspr,-12,-12
tobo,-2,-2
ohmy,0,0
tril,3,3
midw,-8,-8
mika,-5,-5
swho,-6,-6
unem,-1,-1
haum,-4,-4
glit,2,2
stev,-6,-6
botr,-1,-1
iron,2,2
endl,0,0
hist,-2,-2
cyco,-2,-2
dest,2,2
stis,-6,-6
dilu,-1,-1
gola,-5,-5
hytw,5,5
lach,0,0
fist,-9,-9
ovso,3,3
rank,-10,-10
drsa,-3,-3
myth,-8,-8
hybo,-1,-1
hnbn,0,0
ilov,3,3
rege,1,1
dokv,-4,-4
stma,-6,-6
inpa,-5,-5
hypd,-1,-1
flan,2,2
nofn2,2,2
pani,2,2
raac,11,11
lisp,6,6
tahi,-2,-2
mida,-2,-2
dran,12,12
cbme,3,3
lasc,3,3
gohy,6,6
iwtd,-4,-4
guil,6,6
nolq,4,4
feid,2,2
tgmw,-1,-1
crho,9,9
shij,-10,-10
otog,-2,-2
room,-8,-8
saka,10,10
biii,5,5
sill,7,7
hosi,-9,-9
losp,1,1
spsm,-2,-2
tosh,1,1
digr,-6,-6
cnsl,0,0
riot,-2,-2
ghok,-5,-5
bang,3,3
mutk,-4,-4
wolf,-2,-2
vert,9,9
hang,-8,-8
alsi,-25,-25
haor,-5,-5
tuio,-7,-7
aoga,0,0
ourl,-4,-4
latw,5,5
kyos,-6,-6
nole,-24,-24
panh,9,9
taki2,3,3
habr,-2,-2
delo2,-4,-4
jetc,9,9
hart,-2,-2
inne2,9,9
umey,1,1
hara,-14,-14
inos,-16,-16
usot,4,4
redc,-5,-5
xray,0,0
nsya,0,0
brid,-6,-6
yuni,2,2
esco,2,2
runs,4,4
conn,8,8
bich,8,8
were,8,8
shyg,8,8
kkkr,0,0
reso,4,4
drow,4,4
meda,0,0
actu,-4,-4
sadi,-4,-4
m1dy,0,0
stth,3,3
golo,6,6
hede,7,7
evan,-7,-7
sibu,-4,-4
houu,-10,-10
kana,-2,-2
ifif,0,0
jucu,4,4
aure,5,5
popi,0,0
onyx,8,8
swor,7,7
betm,-2,-2
hilo,-4,-4
yumo,-14,-14
papa,0,0
uhoh,6,6
lada,0,0
movw,0,0
roki,1,1
itet,6,6
suse,-10,-10
liva,-3,-3
glgl,-1,-1
yume,-2,-2
siru,-1,-1
trcr,-2,-2
syak2,0,0
swcl,6,6
pupu,0,0
lasu,7,7
stgo,5,5
nopl,5,5
shid,0,0
blak,-3,-3
typh,8,8
lmsy,0,0
gtit,10,10
cbmf,-3,-3
drmh,0,0
telp,3,3
liks,-1,-1
gsun,2,2
lmkn,0,0
pers,2,2
surf,0,0
anan,-3,-3
aiai,-1,-1
unry,-5,-5
geyw,4,4
antm,0,0
hotu,-2,-2
mono,-2,-2
envi,4,4
aftm,-1,-1
papo,4,4
daph,-2,-2
wadi,-1,-1
jetg,2,2
schw,7,7
teca,0,0
saik,,
fleu,-1,-1
deet,-3,-3
coco,2,2
vall,0,0
wuvu,6,6
ysim,5,5
newm,-4,-4
perd,6,6
kyoh,0,0
sayh,1,1
conc,-4,-4
grme,12,12
ueue,-1,-1
belu,1,1
wopl,2,2
qwer,0,0
ster,3,3
ayma,7,7
usty,2,2
warn,2,2
kanb,10,10
debu,5,5
leda,-2,-2
mega,4,4
mana,-3,-3
lien,-2,-2
dual,-1,-1
matr,-1,-1
chum,-1,-1
muba,-2,-2
losy,8,8
spad,8,8
abil,11,11
ravi,4,4
takh,10,10
gr04,4,4
saeu,10,10
noal,4,4
sect,-9,-9
jdan,11,11
rena2,-10,-10
glac,1,1
mgar,4,4
wowi,7,7
naho,-2,-2
albi,2,2
glfl,6,6
tola,-1,-1
ryum,7,7
gerb,-1,-1
blem,-4,-4
mixn,-6,-6
itiz,1,1
king,-2,-2
yoid,-1,-1
akib,8,8
eape,-1,-1
yyyo,0,0
pref,-2,-2
godo,8,8
acid,8,8
gtto,5,5
waku,-1,-1
bone,7,7
kiya,3,3
brli,8,8
crys,-9,-9
eonb,2,2
lats,2,2
soco,5,5
muan,6,6
voqu,4,4
snhb,-11,-11
awwi,0,0
kilo,4,4
suke,2,2
chon,8,8
inst,15,15
resp,7,7
sash,-1,-1
snga,7,7
mull,-2,-2
paea,0,0
phlo,8,8
adrn,11,11
chap,3,3
spri,12,12
youh,10,10
souv,8,8
brfu,5,5
draw,-5,-5
aria,-5,-5
cogv,-1,-1
glcr,-3,-3
smas,2,2
riao,-4,-4
chbu,2,2
abma,1,1
ashf,1,1
comi,9,9
flfl,19,19
gltr,9,9
vala,8,8
brkn,12,12
plwf,13,13
towh,6,6
basa,9,9
mtpn,-1,-1
urli,1,1
mago,2,2
tknt,6,6
emtr,3,3
puru,2,2
poda,3,3
poca,7,7
loea,-4,-4
trda,2,2
iwuu,5,5
euph,2,2
tthd,-1,-1
diab,6,6
ccnn,-1,-1
bath,-1,-1
dbgl,-1,-1
file,0,0
susp,-6,-6
hakk,1,1
stmp,8,8
sodd,-1,-1
hani,-10,-10
crea,4,4
niou,-6,-6
ropa,4,4
sisy,4,4
inwo,1,1
shwa,6,6
kini,0,0
nefu,-2,-2
mydr,3,3
blar,-1,-1
pola,-1,-1
fidi,3,3
toka,4,4
nali,6,6
cnfc,2,2
senk,-5,-5
hame,1,1
ckpp2,-3,-3
meum2,4,4
thou,-1,-1
dent,-8,-8
whst,6,6
dwtd,-7,-7
meta,-1,-1
indi,7,7
rink,6,6
odys,-5,-5
drat,6,6
hyno,-3,-3
baaw,-5,-5
arca,-6,-6
dflo,-5,-5
grco,-6,-6
swfr,-12,-12
kyok,-14,-14
woco,-6,-6
roli,-2,-2
hera,-2,-2
th88,-7,-7
asbo,4,4
hage,-10,-10
fufl,4,4
rofo,-3,-3
defl,2,2
fiac,0,0
haji,-4,-4
nmlv,1,1
orpu,3,3
dwtr,1,1
dade,4,4
ohch,4,4
buco,-3,-3
ausu,-2,-2
hodf,-1,-1
aisi,-4,-4
dshc,-1,-1
fluc,-2,-2
cots,-2,-2
kiun,-1,-1
movo,-7,-7
odva,0,0
nise,-5,-5
hd2u,-2,-2
mons,-1,-1
thun,-2,-2
bhny,-6,-6
brhe,-2,-2
eira,-2,-2
y3s3,1,1
cosc,-1,-1
toyo,1,1
kyal,-9,-9
vamp,-9,-9
tokm,-12,-12
jitu2,,
smxx,6,6
koma,-3,-3
kaga,0,0
sets,-6,-6
beea,0,0
sazu,-2,-2
tyco,5,5
flly,12,12
quav,4,4
diav,0,0
redf,1,1
tsba,-9,-9
meh4,5,5
saib,-9,-9
hito,-9,-9
shuk,-5,-5
kyuk,-10,-10
flor,-3,-3
mete,-6,-6
hesk,0,0
zanz,-6,-6
neok,2,2
buta,-11,-11
decm,0,0
imkk,4,4
swht,-4,-4
dama,-1,-1
suhr,7,7
safa2,-1,-1
onga2,-7,-7
tumu,9,9
tpp2,-4,-4
douw,-5,-5
lich,3,3
oroc,-2,-2
blco,-1,-1
rein,-2,-2
rhyz,-3,-3
akat,-3,-3
rmrm,-4,-4
koiu,-3,-3
gany2,-5,-5
badm,0,0
fole,-3,-3
chpl,-5,-5
cove,7,7
mvpp,-6,-6
konr,-9,-9
hitk,-6,-6
itit,7,7
saha,-4,-4
stvi,-2,-2
ambo,-3,-3
dawm,-8,-8
ware,-1,-1
tosu,-4,-4
igak,0,0
mtor,-7,-7
wiza,-1,-1
thst,-9,-9
blan,-6,-6
gitg,-4,-4
espr,0,0
mibm,-3,-3
rabb,-3,-3
mesm,6,6
mrsk,-3,-3
gale,0,0
holl,-4,-4
kata,-7,-7
roes,-14,-14
gkrb,-5,-5
suku,-3,-3
bigs,-2,-2
cuec,-4,-4
polk,-2,-2
mzcn,-4,-4
ojiy,-31,-31
sham,10,10
akao,0,0
hits,-3,-3
kawi,-2,-2
syou,-2,-2
chee,-1,-1
knyo,0,0
wwto,-12,-12
yush,-2,-2
ryum2,-2,-2
dopa2,-1,-1
loyo,-3,-3
sabm,-1,-1
cobl,-1,-1
gaga,-4,-4
aoba,22,22
hhwn,-4,-4
kksy,-2,-2
mkss,4,4
miti,4,4
potk,-1,-1
babe,-4,-4
ztrd,-3,-3
liag,-2,-2
arac,-2,-2
ebiv,-8,-8
zatt,-5,-5
byon,-1,-1
dais,-2,-2
zend,-1,-1
sipp,-4,-4
expl,-1,-1
eoth,-2,-2
icem,-2,-2
dddd2,-16,-16
dind2,-4,-4
saip,-2,-2
wafu,,
tema,,
houu2,-3,-3
newm2,-3,-3
murm2,-3,-3
akao2,-3,-3
rmrm2,-3,-3
kjnf2,-3,-3
shos,-2,-2
mero,-1,-1
toul,-1,-1
antd,-3,-3
ddda,-2,-2
harm,,
tomb,,
renk,-1,-1
skdr,-2,-2
sans2,-3,-3
mesh,-4,-4
asbl,-7,-7
akne,,
sevn,,
rodi,-2,-2
sibr,-4,-4
kint,3,3
hpga,,
unkn,-4,-4
suma,-3,-3
gogg,-2,-2
hori,-3,-3
rizi,-4,-4
pars,,
trtr,-4,-4
lube,-5,-5
cobu,-2,-2
tari,-5,-5
scre,-6,-6
quon,,
hane,0,0
ft2m,-3,-3
fixe,-2,-2
bimo,-2,-2
boeg,-1,-1
kare,-3,-3
tktk,-3,-3
reci,-32,-32
nant,-3,-3
naqu,-3,-3
spch,-4,-4
frag,-6,-6
asgm,-3,-3
mlwt,,
ruin,-2,-2
abdt,-2,-2
somd,2,2
levi,-4,-4
raom,-5,-5
fiwo,-2,-2
blli,4,4
sits,1,1
bwid,-19,-19
mioi,14,14
bknh2,2,2
homs2,-6,-6
fizz,-3,-3
casr,-2,-2
vill,-2,-2
sthy,-1,-1
sifl,-1,-1
pote,-2,-2
shma,-2,-2
deng,-3,-3
hkrs,-1,-1
hkhk,0,0
dubl,,
neus,,
glac2,,
ilos,-7,-7
tmsb,,
myst,-1,-1
odfe,-1,-1
igni,-1,-1
shoj,-2,-2
lisa,-5,-5
amab,-2,-2
blim,-3,-3
ring,-6,-6
lucy,-2,-2
smin,-2,-2
danz,-2,-2
anyp,-2,-2
mmmm,,
neno,,
buch,,
